project_id,street_name,limits,cnn,project_name_full,owner,description_full,dpw_project_class,facility_type,project_status,start_date,end_date,duration,facility_indicator,facility_subindicator,group_code,facility_type_description,create_date,modify_date,project_type,project_url,X,Y,latitude,longitude,location
DPW0765_PR_165,JENNINGS ST,NEWHALL ST to EVANS AVE \ MIDDLE POINT RD (200 - 399),7471000,Various Locations Pavement Renovation No 68,,,Paving,Roadway,Planned,11/23/2023 12:00:00 AM,11/22/2024 12:00:00 AM,365,Roadway Surface,,10037805,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6018533.5499,2096799.49262,37.73845038997586,-122.37841601602207,"(37.73845038997586, -122.37841601602207)"
DPW0104_PR_55,17TH AVE,ORTEGA ST intersection,27315000,PW Various Locations No48 Infrastructure Improvements,,1102I,Paving,Roadway,Started,11/30/2021 12:00:00 AM,11/14/2023 12:00:00 AM,714,Roadway Surface,,10033115,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,5990948.36873,2102473.90193,37.752471747346604,-122.47420518285807,"(37.752471747346604, -122.47420518285807)"
DPW0767_PR_61,09TH AVE,JUDAH ST to KIRKHAM ST (1400 - 1499),433000,Various Locations Pavement Renovation No 64,,,Paving,Roadway,Committed,06/22/2023 12:00:00 AM,06/21/2024 12:00:00 AM,365,Roadway Surface,,10037782,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,5993353.75468,2105617.85756,37.761243286827096,-122.46611547097756,"(37.761243286827096, -122.46611547097756)"
DPW0765_PR_142,FONT BLVD,JUAN BAUTISTA CIR intersection,23051000,Various Locations Pavement Renovation No 68,,,Paving,Roadway,Planned,11/23/2023 12:00:00 AM,11/22/2024 12:00:00 AM,365,Roadway Surface,,10037805,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,5989429.57793,2090147.51022,37.71853854644885,-122.47855602795079,"(37.71853854644885, -122.47855602795079)"
DPW0957_PR_2,MINNESOTA ST,24TH ST to 25TH ST (1300 - 1399),9059000,Joint - Streetscape Lead - Minnesota St 2972J,,,Paving,Roadway,Planned,02/13/2023 12:00:00 AM,04/21/2024 12:00:00 AM,433,Roadway Surface,,_NA,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6015353.56648,2102293.57896,37.75336021403386,-122.38979459608433,"(37.75336021403386, -122.38979459608433)"
DPW0684_PR_127,INGERSON AVE,CORONADO ST to HAWES ST (850 - 899),7248000,Various Locations Pavement Renovation No 61,,,Paving,Roadway,Committed,07/01/2023 12:00:00 AM,06/29/2024 12:00:00 AM,364,Roadway Surface,,10037746,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6014837.81243,2089341.91393,37.71776897095961,-122.39067319441854,"(37.71776897095961, -122.39067319441854)"
DPW1012_PR_353,PIXLEY ST,WEBSTER ST to FILLMORE ST (100 - 199),10504000,Street Resurfacing Program- BSSR Paving FY 22-23,,,Paving,Roadway,Started,07/04/2022 12:00:00 AM,06/30/2023 12:00:00 AM,361,Roadway Surface,,10038989,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6002641.73715,2119026.53936,37.798591636586465,-122.43495129911715,"(37.798591636586465, -122.43495129911715)"
DPW0937_PR_17,GROVE ST,BAKER ST to LYON ST (1500 - 1599),6566000,Various Locations Pavement Renovation No 78,,,Paving,Roadway,Planned,02/19/2025 12:00:00 AM,02/18/2026 12:00:00 AM,364,Roadway Surface,,_NA,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6000394.90259,2110626.7254,37.7754000974134,-122.44212275561283,"(37.7754000974134, -122.44212275561283)"
DPW0688_PR_2,CLAREMONT BLVD,DEWEY BLVD \ KENSINGTON WAY \ MONTALVO AVE \ TARAVAL ST to GRANVILLE WAY (1 - 99),4060000,"Claremont, Juanita, and Yerba Buena Pavement Renovation",,,Paving,Roadway,Committed,03/18/2023 12:00:00 AM,03/16/2024 12:00:00 AM,364,Roadway Surface,,10037323,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,5993902.06066,2099085.35323,37.7433383194014,-122.46374497773992,"(37.7433383194014, -122.46374497773992)"
DPW0936_PR_21,CASTRO ST,16TH ST to STATES ST (300 - 338),3788000,Various Locations Pavement Renovation No 75,,,Paving,Roadway,Planned,10/19/2024 12:00:00 AM,10/18/2025 12:00:00 AM,364,Roadway Surface,,10037892,Roadway Surface / Paving-Roads Only,10/02/2022 04:15:02 AM,10/02/2022 04:15:02 AM,Paving-Roads Only,,6002282.39302,2106356.5158,37.763782540764694,-122.43528797913137,"(37.763782540764694, -122.43528797913137)"
